rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC0298,ok,0.0,0.0,0,0,0.0,0.06557707993049515,19.600000381469727,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0298.phot.1.fits,
2,NGC1347,ok,0.0,0.0,0,0,0.0,0.02943972142424746,30.799999237060547,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
3,NGC4405,ok,0.0,0.0,0,0,0.0,0.09510621606114818,21.090777440879684,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
4,NGC4765,ok,0.0,0.0,0,0,0.0,0.09118672175792929,21.581260147661673,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
5,NGC5669,ok,0.0,0.0,0,0,0.0,0.05245761175006376,23.788433497583625,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5669.phot.1.fits,
6,NGC3486,ok,0.13935252000626128,0.05437631334412668,1,15,0.003399048266485384,0.1141189999616775,37.7672035043034,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
7,NGC4369,ok,0.4049221234850162,0.1727792663421591,1,13,0.009285714285714286,0.22268187071629414,21.336017624867665,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4369.phot.1.fits,
8,NGC3681,ok,0.5508805573523164,0.20534051745490978,4,97,0.013821601595896267,0.0267297099079511,47.599998474121094,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
9,PGC013821,ok,0.5723671768708818,0.10398310192942983,1,48,0.01873536299765808,0.06640400139793111,28.799999237060547,3.359999910990397,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
10,UGC08851,ok,1.4307084643870076,1.3441802428747605,1,13,0.003461128860489883,0.012309468288017388,34.79999923706055,4.059999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
11,NGC4625,ok,1.4736648951911469,0.8290976760382922,2,28,0.02578268876611418,0.11363771228610513,18.8836017521517,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
12,NGC4713,ok,1.729164500040727,1.3980386722261573,3,32,0.013245033112582781,0.10215427916245662,27.957540013439555,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
13,UGC09661,ok,1.7747259716997026,1.3022354215107064,4,90,0.01889962200755985,0.017133883126535857,39.20000076293945,4.5733334223429365,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09661.phot.1.fits,
14,NGC3344,ok,1.8100590481899703,1.70283371001775,2,52,0.004289013526888816,0.060121027244858315,62.53660475425703,7.295937221329986,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3344.phot.1.fits,
