name,status,png,raw_segments,kept_segments,masked_fraction,background_level,background_rms,error
NGC1051,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1051_sep_thr2.2_area15_deb0.0005_dil5.png,332,331,0.08339014032589541,0.06482284516096115,0.018198512494564056,
NGC1097,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1097_sep_thr2.2_area15_deb0.0005_dil5.png,2285,2281,0.14603133565648974,0.03567416965961456,0.010957572609186172,
NGC1187,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1187_sep_thr2.2_area15_deb0.0005_dil5.png,1228,1227,0.10049377975733374,0.04081083461642265,0.02217000350356102,
NGC1255,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1255_sep_thr2.2_area15_deb0.0005_dil5.png,684,683,0.07734763219367169,0.035729240626096725,0.023868005722761154,
NGC1291,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1291_sep_thr2.2_area15_deb0.0005_dil5.png,2323,2321,0.10851731621736783,0.027526531368494034,0.011994583532214165,
NGC1302,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1302_sep_thr2.2_area15_deb0.0005_dil5.png,1146,1145,0.08979035478421134,0.035834960639476776,0.02157203108072281,
NGC1313,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1313_sep_thr2.2_area15_deb0.0005_dil5.png,4088,4087,0.3485351671698535,0.019925568252801895,0.008390404284000397,
NGC1326A,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1326A_sep_thr2.2_area15_deb0.0005_dil5.png,307,306,0.04673689000807825,0.004954437259584665,0.020734086632728577,
NGC1341,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1341_sep_thr2.2_area15_deb0.0005_dil5.png,338,337,0.046290954438384116,0.005925881210714579,0.02032264694571495,
NGC1347,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1347_sep_thr2.2_area15_deb0.0005_dil5.png,353,352,0.09446030235754307,0.053707804530858994,0.018934639170765877,
NGC1350,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1350_sep_thr2.2_area15_deb0.0005_dil5.png,817,815,0.09144777411534066,0.026679739356040955,0.023877227678894997,
NGC1367,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1367_sep_thr2.2_area15_deb0.0005_dil5.png,1000,998,0.07877158321740452,0.04351253807544708,0.021856803447008133,
NGC1436,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1436_sep_thr2.2_area15_deb0.0005_dil5.png,364,363,0.0853682502734937,0.00786952767521143,0.01922600343823433,
NGC1493,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1493_sep_thr2.2_area15_deb0.0005_dil5.png,1075,1074,0.0789507007111445,0.01567855291068554,0.022147148847579956,
NGC1512,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1512_sep_thr2.2_area15_deb0.0005_dil5.png,1845,1843,0.11307648383671776,0.02624141424894333,0.011249647475779057,
NGC1559,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1559_sep_thr2.2_area15_deb0.0005_dil5.png,1523,1523,0.12208245217658845,0.014912188984453678,0.013732374645769596,
NGC1640,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1640_sep_thr2.2_area15_deb0.0005_dil5.png,380,379,0.11645406213374553,0.03779930993914604,0.01721065491437912,
NGC1672,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1672_sep_thr2.2_area15_deb0.0005_dil5.png,845,843,0.1425193495603531,0.022416044026613235,0.015061013400554657,
NGC1800,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1800_sep_thr2.2_area15_deb0.0005_dil5.png,561,560,0.19895584371556913,0.022723574191331863,0.008798368275165558,
NGC1808,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1808_sep_thr2.2_area15_deb0.0005_dil5.png,911,908,0.20747798066595058,0.011009462177753448,0.010836481116712093,
